OBJECTID,MinReg_ID,Site_ID,Ftr_ID,Ftr_Name,Other_Name,Last_Updt,Ftr_Group,Ftr_Type,Commodity,Lat_WGS84,Long_WGS84,Pt_Def,Poly_Def,State,County,Loc_Scale,Loc_Date,Ref_Detail,Ref_ID,Remarks,Loc_Poly
1,Mr00176,TX00001,Mr00176,Sierra Blanca mining area,,2020-12-18,Mineral Region,Area,aluminum; beryllium; gallium; hafnium; iron; lithium; magnesium; manganese; niobium; potassium; rare-earth elements; scandium; sodium; tantalum; thorium; tin; uranium; yttrium; zirconium,31.2657,-105.4451,Approximate center of the polygon,Approximate extent of region on the map,TX,Hudspeth,"Small (<1:250,000)",1983,Plate 1,Henry and others (1983),All commodities referenced from Hulse and others (2019),Yes
2,Mr00176,TX00005,Mo00233,"Round Top, Round Top deposit",,2020-12-18,Mineral Occurrence,Deposit,aluminum; beryllium; gallium; hafnium; iron; lithium; magnesium; manganese; niobium; potassium; rare-earth elements; scandium; sodium; tantalum; thorium; tin; uranium; yttrium; zirconium,31.2767,-105.4762,Approximate center of the polygons,Approximate extent of measured plus indicated and inferred resource classifications on the map,TX,Hudspeth,"Large (>1:24,000)",2019,"Page 94, Figure 14-9",Hulse and others (2019),,Yes
3,Mr00187,UT00003,Mr00187,Tutsagubet Mining District,,2020-11-23,Mineral Region,Mining District,arsenic (1); copper; gallium; germanium; iron (1); lead (1); silver (1); zinc (1),37.1080,-113.8770,Approximate center of the polygon,Approximate extent of the mining district from imported GIS layer,UT,Washington,,2018,Utah mining district GIS layer,Utah Geological Survey (2020),(1) Bernstein (1986); Imported data from Utah Geological Survey,Yes
4,Mr00187,UT00004,Mf00589,"Apex, Apex mine",Dixie mine,2020-12-22,Mine Feature,Adit,copper (1); gallium (1); germanium (1); lead (1); silver (1),37.0697,-113.8039,Coordinates were provided from the source document,,UT,Washington,,1986,Page 1,Bernstein (1986),,No
5,Mr00187,UT00004,Mo00838,"Apex, Apex deposit",,2021-01-19,Mineral Occurrence,Deposit,arsenic (1); copper (1); gallium (1); germanium (1); iron (1); lead (1); silver (1); zinc (1),37.0697,-113.8039,Same location as the Apex mine (Mf00589),,UT,Washington,,1986,Page 1,Bernstein (1986),,No
6,Mr00187,UT00004,Mo00849,"Apex, Apex surface dumps",,2021-01-19,Mineral Occurrence,Deposit,copper (1); gallium (1); germanium (1),37.0695,-113.8057,Approximate location of Adit label on map,Approximate extent of the tailings on the map,UT,Washington,"Large (>1:24,000)",1986,"Page 4, Figure 3",Bernstein (1986),Adjusted location using Esri imagery [Esri (2020)],Yes
